RawPath,Sample Name,Cell_type
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589133_cell_295.contacts.pairs.txt.gz,GSM3589133,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589134_cell_296.contacts.pairs.txt.gz,GSM3589134,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589135_cell_297.contacts.pairs.txt.gz,GSM3589135,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589136_cell_298.contacts.pairs.txt.gz,GSM3589136,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589137_cell_299.contacts.pairs.txt.gz,GSM3589137,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589138_cell_300.contacts.pairs.txt.gz,GSM3589138,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589139_cell_301.contacts.pairs.txt.gz,GSM3589139,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589140_cell_302.contacts.pairs.txt.gz,GSM3589140,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589141_cell_303.contacts.pairs.txt.gz,GSM3589141,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589142_cell_304.contacts.pairs.txt.gz,GSM3589142,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589143_cell_305.contacts.pairs.txt.gz,GSM3589143,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589144_cell_306.contacts.pairs.txt.gz,GSM3589144,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589145_cell_307.contacts.pairs.txt.gz,GSM3589145,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589146_cell_308.contacts.pairs.txt.gz,GSM3589146,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589147_cell_309.contacts.pairs.txt.gz,GSM3589147,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589148_cell_310.contacts.pairs.txt.gz,GSM3589148,main olfactory epithelium
/store/zlwang/Workspace/data/Dip-C/pairs2019/GSM3589149_cell_311.contacts.pairs.txt.gz,GSM3589149,main olfactory epithelium
